ProductId;ProdDescr
BOTL1000;Water Bottle
CAGE1000;Water Bottle Cage
CITY1000;City Max
DXRD1000;Road Bike Alu Shimano
DXRD2000;Road Bike Alu SRAM
DXTR1000;Deluxe Touring Bike-Black
DXTR2000;Deluxe Touring Bike-Silver
DXTR3000;Deluxe Touring Bike-Red
ELBK1000;E-Bike Tailwind
EPAD1000;Elbow Pads
FAID1000;First Aid Kit
FXGR1000;Edel Fixie
HVBD1000;Hoverboard
KPAD1000;Knee Pads
OHMT1000;Off Road Helmet
ORHT1000;Men's Off Road Bike Hard Tail Shimano
ORHT2000;Men's Off Road Bike Hard Tail SRAM
ORMN1000;Men's Off Road Bike Fully
ORWN1000;Women's Off Road Bike Fully
PRRD1000;Road Bike Carbon Shimano
PRRD2000;Road Bike Carbon SRAM
PRRD3000;Road Bike Carbon Campagnolo
PRTR1000;Professional Touring Bike-Black
PRTR2000;Professional Touring Bike-Silver
PRTR3000;Professional Touring Bike-Red
PUMP1000;Air Pump
RHMT1000;Road Helmet
RKIT1000;Repair Kit
SHRT1000;T-shirt
